2,56,43,2.529411765,1
3,63,139,1.120967742,1
0,13,90,1,1
1,4,3,1,0
1,2,2,1,0
2,2,2,1,0
4,11,61,0.734939759,1
36,41,69,0.556451613,1
2,7,3,0.333333333,1
7,8,18,0.28,0
7,5,8,0.28,0
1,12,5,0.25,0
1,11,4,0.25,0
1,9,1,0.25,0
1,8,1,0.25,0
6,22,4,0.1875,0
28,16,1,0.173913043,0
1,12,5,0.166666667,0
1,11,4,0.166666667,0
1,9,1,0.166666667,0
1,8,1,0.166666667,0
32,64,17,0.125,1
3,1,9,0.12,0
3,13,16,0.09375,0
3,5,14,0.09375,0
2,10,10,0.08,0
2,6,16,0.08,0
2,9,11,0.0625,0
2,8,12,0.0625,0
10,27,1,0.062111801,0
9,12,7,0.055900621,0
7,17,14,0.043478261,0
1,6,21,0.04,0
1,5,6,0.04,0
1,3,5,0.04,0
1,1,0,0.04,0
6,6,1,0.037267081,0
1,23,9,0.03125,0
1,5,11,0.03125,0
4,10,5,0.02484472,0
4,6,7,0.02484472,0
3,10,9,0.01863354,0
3,10,8,0.01863354,0
3,6,9,0.01863354,0
3,5,5,0.01863354,0
2,55,2,0.01242236,0
2,12,12,0.01242236,0
2,9,10,0.01242236,0
2,9,9,0.01242236,0
2,9,6,0.01242236,0
2,7,1,0.01242236,0
2,6,7,0.01242236,0
2,6,6,0.01242236,0
2,6,4,0.01242236,0
2,5,5,0.01242236,0
2,4,4,0.01242236,0
2,1,1,0.01242236,0
1,44,1,0.00621118,0
1,15,16,0.00621118,0
1,14,15,0.00621118,0
1,12,13,0.00621118,0
1,12,8,0.00621118,0
1,9,10,0.00621118,0
1,9,9,0.00621118,0
1,9,4,0.00621118,0
1,7,8,0.00621118,0
1,6,7,0.00621118,0
1,6,1,0.00621118,0
1,4,2,0.00621118,0
1,4,0,0.00621118,0
1,3,1,0.00621118,0
1,2,2,0.00621118,0
1,1,2,0.00621118,0
1,1,1,0.00621118,0
1,0,6,0.00621118,0
1,0,5,0.00621118,0
1,0,1,0.00621118,0
0,24,10,0,0
0,20,2,0,0
0,20,0,0,0
0,18,4,0,0
0,17,0,0,0
0,16,16,0,0
0,14,4,0,0
0,13,6,0,0
0,10,8,0,0
0,10,0,0,1
0,9,16,0,0
0,9,9,0,0
0,9,8,0,0
0,9,7,0,0
0,9,2,0,0
0,8,7,0,0
0,8,6,0,0
0,8,4,0,0
0,8,0,0,0
0,7,7,0,0
0,7,1,0,0
0,7,0,0,0
0,6,4,0,0
0,6,3,0,0
0,6,2,0,0
0,6,0,0,0
0,5,6,0,0
0,5,5,0,0
0,5,4,0,0
0,5,3,0,0
0,5,2,0,0
0,5,1,0,0
0,5,0,0,0
0,4,5,0,0
0,4,4,0,0
0,4,2,0,0
0,4,0,0,0
0,3,4,0,0
0,3,3,0,0
0,3,2,0,0
0,3,1,0,0
0,3,0,0,0
0,2,5,0,0
0,2,3,0,0
0,2,2,0,0
0,2,0,0,0
0,1,2,0,0
0,1,1,0,0
0,1,0,0,0
0,0,16,0,0
0,0,10,0,0
0,0,7,0,0
0,0,6,0,0
0,0,5,0,0
0,0,4,0,0
0,0,2,0,0
0,0,1,0,0
0,0,0,0,0
13,17,40,0.888888889,1
12,13,22,0.314285714,1
11,112,25,0.18115942,1
4,44,14,0.368421053,1
