4,0,1,1,1,2,0,0.5,0
4,0,0,5,0,2,0,0,0
4,2,1,3,24,2,1,0.5,0
4,1,0,4,7,2,0.5,0,0
7,0,0,4,0,9,0,0,0
7,1,0,3,6,9,0.111111111,0,0
7,0,0,1,5,9,0,0,0
7,0,0,0,1,9,0,0,0
7,1,0,14,11,9,0.111111111,0,0
7,6,1,3,3,9,0.666666667,0.111111111,0
7,1,8,10,55,9,0.111111111,0.888888889,0
12,0,1,7,6,1,0,1,0
12,1,0,4,5,1,1,0,0
12,0,0,2,2,1,0,0,0
12,0,0,17,1,1,0,0,0
12,0,0,9,3,1,0,0,0
12,0,0,1,0,1,0,0,0
12,0,0,2,0,1,0,0,0
12,0,0,3,5,1,0,0,0
12,0,0,5,1,1,0,0,0
12,0,0,3,1,1,0,0,0
12,0,0,10,1,1,0,0,0
12,0,0,3,1,1,0,0,0
20,1,0,2,5,32,0.03125,0,0
20,1,3,13,16,32,0.03125,0.09375,0
20,1,2,9,11,32,0.03125,0.0625,0
20,1,2,8,12,32,0.03125,0.0625,0
20,3,6,49,51,32,0.09375,0.1875,0
20,1,3,5,14,32,0.03125,0.09375,0
20,2,1,5,11,32,0.0625,0.03125,0
20,0,0,20,2,32,0,0,0
20,3,0,4,5,32,0.09375,0,0
20,14,6,22,4,32,0.4375,0.1875,0
20,1,2,40,43,32,0.03125,0.0625,0
20,1,1,23,9,32,0.03125,0.03125,0
20,0,0,1,0,32,0,0,0
20,0,0,1,0,32,0,0,0
20,0,0,1,0,32,0,0,0
20,0,0,1,0,32,0,0,0
20,1,2,8,12,32,0.03125,0.0625,0
20,1,2,8,12,32,0.03125,0.0625,0
20,1,2,9,11,32,0.03125,0.0625,0
20,14,0,24,10,32,0.4375,0,0
3,1,0,9,8,1,1,0,0
3,0,0,2,3,1,0,0,0
3,0,1,2,2,1,0,1,0
14,0,0,1,0,25,0,0,0
14,1,0,5,0,25,0.04,0,0
14,19,0,10,0,25,0.76,0,0
14,0,3,1,9,25,0,0.12,0
14,0,1,3,5,25,0,0.04,0
14,0,0,9,16,25,0,0,0
14,0,1,5,6,25,0,0.04,0
14,0,7,8,18,25,0,0.28,0
