0,1,1,0,MainH:\JAVA\ICPC\InputGen3862\src
0,5,1,0,MainH:\JAVA\icpcRegional2017\src
0,2,0,0,MainH:\JAVA\IPMonitor\src
0,1,0,0,MainH:\JAVA\LIBGDXEXT\src
0,0,4,0.8,ArcH:\JAVA\LIBGDXEXT\src
0,3,2,0.4,CircleH:\JAVA\LIBGDXEXT\src
0,15,1,0.2,EMathH:\JAVA\LIBGDXEXT\src
0,9,2,0.4,LineH:\JAVA\LIBGDXEXT\src
0,6,5,1,NgonH:\JAVA\LIBGDXEXT\src
1,7,0,0,ShapeRendererExtH:\JAVA\LIBGDXEXT\src
4,15,1,0.2,TriangleH:\JAVA\LIBGDXEXT\src
0,1,4,0.068965517,AnimationH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
5,3,33,0.568965517,AssetsH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,4,9,0.155172414,BobH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,0,2,0.034482759,CastleH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,1,4,0.068965517,CoinH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,0,2,0.034482759,DynamicGameObjectH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,0,2,0.034482759,GameObjectH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
3,19,18,0.310344828,GameScreenH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,9,7,0.120689655,HelpScreenH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,9,7,0.120689655,HelpScreen2H:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,9,7,0.120689655,HelpScreen3H:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,9,7,0.120689655,HelpScreen4H:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,9,7,0.120689655,HelpScreen5H:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,9,7,0.120689655,HighscoresScreenH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,10,10,0.172413793,MainMenuScreenH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,2,11,0.189655172,PlatformH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,3,3,0.051724138,SettingsH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,0,2,0.034482759,SpringH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,1,4,0.068965517,SquirrelH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,3,2,0.034482759,SuperJumperH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,1,0,0,SuperJumperDesktopH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
14,12,17,0.293103448,WorldH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,4,0,0,WorldListenerH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
6,8,6,0.103448276,WorldRendererH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
4,25,19,0.327586207,MultiplayerGameScreenH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,14,13,0.224137931,StartMultiplayerScreenH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
14,12,17,0.293103448,WorldH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,4,0,0,WorldListenerH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
6,11,11,0.189655172,WorldRendererH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
1,2,1,0.017241379,ChatListenerH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
1,3,1,0.017241379,ConnectionListenerH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
1,15,1,0.017241379,NotificationListenerH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
1,9,1,0.017241379,RoomListenerH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
1,25,18,0.310344828,WarpControllerH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,5,0,0,WarpListenerH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
1,7,1,0.017241379,ZoneListenerH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper\src
0,1,0,0,SuperJumperAndroidH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper-android\src
0,2,0,0,SuperJumperIOSH:\JAVA\libgdxMultiplayerSuperJumper-master\libgdxMultiplayerSuperJumper-master\superjumper-iosrobovm\src
1,1,0,0,MainH:\JAVA\MP3Reader\src
0,6,3,3,SoundJLayerH:\JAVA\MP3Reader\src
0,5,7,0.184210526,MainH:\JAVA\MusicSelector\src
0,15,1,0.026315789,MathUtilH:\JAVA\MusicSelector\src
0,0,1,0.026315789,NegativeNumberExceptionH:\JAVA\MusicSelector\src
2,5,2,0.052631579,SegmentH:\JAVA\MusicSelector\src
2,7,1,0.026315789,SegmentSetH:\JAVA\MusicSelector\src
0,22,2,0.052631579,Vector2DDoubleH:\JAVA\MusicSelector\src
0,1,2,0.052631579,Vector2DIntH:\JAVA\MusicSelector\src
0,19,3,0.078947368,Vector3DDoubleH:\JAVA\MusicSelector\src
0,0,3,0.078947368,Vector3DIntH:\JAVA\MusicSelector\src
0,1,5,0.131578947,FalloffH:\JAVA\MusicSelector\src
0,1,6,0.157894737,PerlinFunction2DH:\JAVA\MusicSelector\src
0,1,0,0,RealFunction2DH:\JAVA\MusicSelector\src
0,1,0,0,RealFunction2DDoubleH:\JAVA\MusicSelector\src
1,1,5,0.131578947,RealFunction2DWrapperH:\JAVA\MusicSelector\src
0,1,1,0.026315789,SmoothNoise2DH:\JAVA\MusicSelector\src
14,6,16,0.421052632,PoissonDiskMultiSamplerH:\JAVA\MusicSelector\src
0,1,1,0.026315789,CircleH:\JAVA\MusicSelector\src
11,5,11,0.289473684,PoissonDiskSamplerH:\JAVA\MusicSelector\src
0,1,0,0,SamplerH:\JAVA\MusicSelector\src
8,3,9,0.236842105,UniformPoissonDiskSamplerH:\JAVA\MusicSelector\src
0,1,6,0.157894737,UniformRandomSamplerH:\JAVA\MusicSelector\src
0,0,0,0,ApplicationTestH:\JAVA\NavigationDrawer\NavigationDrawer\app\src
0,1,1,0,FirstFragmentH:\JAVA\NavigationDrawer\NavigationDrawer\app\src
0,5,0,0,MainActivityH:\JAVA\NavigationDrawer\NavigationDrawer\app\src
0,1,1,0,SecondFragmentH:\JAVA\NavigationDrawer\NavigationDrawer\app\src
0,1,1,0,ThirdFragmentH:\JAVA\NavigationDrawer\NavigationDrawer\app\src
0,1,0,0,ExampleUnitTestH:\JAVA\NavigationDrawer\NavigationDrawer\app\src
0,3,3,0,MyGdxGameH:\JAVA\New folder (2)\core\src
0,1,0,0,DesktopLauncherH:\JAVA\New folder (2)\desktop\src
0,3,0,0,UtilsH:\JAVA\object-detection-master\src
1,2,0,0,ObjRecognitionH:\JAVA\object-detection-master\src
0,7,15,15,ObjRecognitionControllerH:\JAVA\object-detection-master\src
0,2,0,0,MainH:\JAVA\OLD\AI demo\src
0,0,0,0,ItemH:\JAVA\OLD\ALEX1\src
0,1,0,0,MainH:\JAVA\OLD\ALEX1\src
0,3,42,0,MainActivityH:\JAVA\OLD\AND-calc1.0\src
0,5,1,0,MainActivityH:\JAVA\OLD\AND-project1\src
0,1,1,0,DummySectionFragmentH:\JAVA\OLD\AND-project1\src
0,1,1,0,MainH:\JAVA\OLD\ASCIIEncoder\src
0,6,15,0,MainH:\JAVA\OLD\batlle algorithm checker\src
0,7,0,0,GaussianH:\JAVA\OLD\battle system test\src
0,8,8,1.333333333,ItemH:\JAVA\OLD\battle system test\src
3,4,7,1.166666667,MainH:\JAVA\OLD\battle system test\src
